id,gloss,count,speaker_role,language,target_child_name,target_child_age,target_child_sex,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
13395363,Gazelle,2,Target_Child,deu,Cosima,40.033676256185956,female,German,16,252,18359,18359,30073
12187094,Hummer,2,Target_Child,deu,Markus,136.00279266514713,NA,German,16,245,17666,17666,28413
12193672,Hummer,3,Father,deu,Markus,136.00279266514713,NA,German,16,245,17672,17666,28413
12386767,Hummer,2,Mother,deu,Simone,26.099098544117947,NA,German,16,248,17929,17927,28899
13019814,Hummer,1,Mother,deu,Leo,33.394936240990575,male,German,16,251,18302,18301,29683
13154055,Hummer,3,Target_Child,deu,Leo,46.39520318692376,male,German,16,251,18301,18301,29819
13154587,Hummer,1,Mother,deu,Leo,46.39520318692376,male,German,16,251,18302,18301,29819
13166414,Hummer,12,Target_Child,deu,Leo,46.55947760734306,male,German,16,251,18301,18301,29823
13168132,Hummer,6,Mother,deu,Leo,46.55947760734306,male,German,16,251,18302,18301,29823
13209551,Hummer,2,Mother,deu,Leo,50.428140208217826,male,German,16,251,18302,18301,29841
13435169,Hummer,1,Investigator,deu,Cosima,74.62576233598226,female,German,16,252,18363,18359,30113
13615741,Hummer,2,Investigator,deu,Sebastian,71.46142631265529,male,German,16,252,18406,18403,30378
12155732,Jaguar,8,Target_Child,deu,Carsten,42.0008624407072,NA,German,16,245,17629,17629,28406
12159163,Jaguar,1,Grandmother,deu,Carsten,42.0008624407072,NA,German,16,245,17632,17629,28406
13000848,Jaguar,1,Target_Child,deu,Leo,32.62489989527506,male,German,16,251,18301,18301,29660
13001458,Jaguar,1,Mother,deu,Leo,32.62489989527506,male,German,16,251,18302,18301,29660
13022923,Jaguar,1,Target_Child,deu,Leo,33.230661820571264,male,German,16,251,18301,18301,29678
13034475,Jaguar,1,Target_Child,deu,Leo,33.559210661409885,male,German,16,251,18301,18301,29688
13036217,Jaguar,1,Mother,deu,Leo,33.559210661409885,male,German,16,251,18302,18301,29688
13044700,Jaguar,1,Target_Child,deu,Leo,33.1978069364874,male,German,16,251,18301,18301,29677
13088756,Jaguar,2,Target_Child,deu,Leo,35.690671266350435,male,German,16,251,18301,18301,29754
13089395,Jaguar,5,Father,deu,Leo,35.690671266350435,male,German,16,251,18309,18301,29754
13304965,Jaguar,1,Target_Child,deu eng,Corinna,50.428140208217826,female,German,16,252,18330,18330,29958
13305234,Jaguar,2,Mother,deu eng,Corinna,50.428140208217826,female,German,16,252,18331,18330,29958
13472622,Jaguar,1,Investigator,deu,Pauline,31.296330520133882,female,German,16,252,18386,18383,30192
13516192,Jaguar,1,Target_Child,deu,Pauline,58.198320294051214,female,German,16,252,18383,18383,30232
13548917,Jaguar,1,Investigator,deu,Pauline,90.95463972566172,female,German,16,252,18386,18383,30258
17848905,Jaguar,2,Target_Child,deu,Sandra,20.65750836772829,female,German,32,381,24200,24200,48008
12265567,Krawatte,1,Target_Child,deu,Teresa,115.00236144479352,NA,German,16,245,17721,17721,28418
12421794,Krawatte,1,Target_Child,deu,Simone,37.0336146532783,NA,German,16,248,17927,17927,28939
12422087,Krawatte,1,Investigator,deu,Simone,37.0336146532783,NA,German,16,248,17931,17927,28939
12428171,Krawatte,1,Mother,deu,Simone,32.49348035893961,NA,German,16,248,17929,17927,28925
12454022,krawatte,1,Mother,deu,Claudia,65.0998993819175,female,German,16,250,17987,17986,28986
12868437,Krawatte,1,Father,deu,Leo,26.55906692129202,male,German,16,251,18309,18301,29474
12422677,Labyrinth,1,Investigator,deu,Simone,38.52645844883878,NA,German,16,248,17931,17927,28942
